StandardPropertyName,CompoundCount,FractionOfCompounds
Corrosivity,1,9.502090459901178e-05
Gas basicity (review),1,9.502090459901178e-05
Relative Evaporation Rate,1,9.502090459901178e-05
Optical Rotation,1,9.502090459901178e-05
S° solid,1,9.502090459901178e-05
V c,1,9.502090459901178e-05
Δ vap S,1,9.502090459901178e-05
ρ c,1,9.502090459901178e-05
P c,2,0.00019004180919802356
ΔH trs,2,0.00019004180919802356
T triple,2,0.00019004180919802356
S° liquid,2,0.00019004180919802356
ΔS trs,2,0.00019004180919802356
T c,3,0.00028506271379703536
Caco2 Permeability,3,0.00028506271379703536
"C p,liquid",3,0.00028506271379703536
"S° gas,1 bar",4,0.0003800836183960471
LogS,5,0.0004751045229950589
Δ f H° liquid,5,0.0004751045229950589
d(ln(k H ))/d(1/T),6,0.0005701254275940707
IE (evaluated),6,0.0005701254275940707
Δ c H° liquid,6,0.0005701254275940707
PFAS,6,0.0005701254275940707
k° H (mol/(kg*bar)),10,0.0009502090459901178
pH,10,0.0009502090459901178
Viscosity,11,0.0010452299505891297
Odor Threshold,11,0.0010452299505891297
Surface Tension,11,0.0010452299505891297
Δ vap H°,11,0.0010452299505891297
Hvap,12,0.0011402508551881414
Gas basicity,15,0.0014253135689851768
Proton affinity (review),15,0.0014253135689851768
B,15,0.0014253135689851768
Δ r S°,15,0.0014253135689851768
C,15,0.0014253135689851768
A,15,0.0014253135689851768
Δ f H° gas,18,0.0017103762827822121
"C p,solid",19,0.0018053971873812239
Δ fus S,19,0.0018053971873812239
Decomposition,20,0.0019004180919802356
Ion,22,0.0020904599011782594
AE,22,0.0020904599011782594
Autoignition Temperature,23,0.002185480805777271
Heat of Combustion,24,0.002280501710376283
Δ r H°,25,0.0023755226149752943
Stability/Shelf Life,27,0.002565564424173318
Refractive Index,28,0.0026605853287723297
Ionization Efficiency,28,0.0026605853287723297
Δ r G°,28,0.0026605853287723297
EA,29,0.0027556062333713416
Henry's Law Constant,33,0.003135689851767389
Δ sub H,35,0.0033257316609654124
Δ vap H,38,0.0036107943747624477
Δ sub H°,38,0.0036107943747624477
Vapor Density,43,0.0040858988977575065
Δ f H° solid,44,0.004180919802356519
IE,46,0.004370961611554542
Δ fus H,49,0.004656024325351577
Δ c H° solid,50,0.004751045229950589
pKa,52,0.0049410870391486126
